"Exported to CSV on Wednesday, September 6, 2023"

"Person ID External","Job Title","Company","Academic degree","Status","Start year","End year","employee_education_VFLD3","Area Of Studies","Area of emphasis","employee_education_VFLD5","Country of study","Institution","Title earned"
"2000001057","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000001057",,,"2000001057",,,
"2000028211","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","ASSOCIATE'S","GRADUATED","2018","2020","2000028211","FINANCE",,"2000028211","COLOMBIA","Servicio Nacional de Aprendizaje SENA","TECNOLOGIA EN GESTION BANCARIA Y DE ENTIDADES FINANCIERAS"
"2000028211","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","TECHNICAL (COL)","GRADUATED","1999","2005","2000028211","TECHNOLOGY",,"2000028211","COLOMBIA",,"BACHILLERATO"
"2000028211","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","TECHNICAL (COL)","ABANDONED","2010","2011","2000028211","N/D",,"2000028211","COLOMBIA",,
"2000028211","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","ELEMENTARY SCHOOL","GRADUATED","1994","1999","2000028211","N/D",,"2000028211","COLOMBIA",,"BACHILLERATO"
"2000028502","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000028502",,,"2000028502",,,
"2000028677","EXPERIENCIAS DE SERVICIO","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","ASSOCIATE'S","GRADUATED","2014","2016","2000028677","ENERGY","Electricidad ","2000028677","COLOMBIA",,
"2000031706","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","ELEMENTARY SCHOOL","GRADUATED","2005",,"2000031706","N/D","COLEGIO ","2000031706","COLOMBIA",,
"2000031706","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","TECHNICAL (COL)","GRADUATED","2010","2015","2000031706","ARCHITECTURE, URBANISM",,"2000031706","COLOMBIA",,
"2000031706","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","TECHNICAL (COL)","GRADUATED","2020","2021","2000031706","AGRONOMY, VETERINARY AND RELATED","AGROPECUARIA","2000031706","COLOMBIA",,
"2000032513","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000032513",,,"2000032513",,,
"2000032876","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)","BACHELOR'S","IN PROGRESS","2018","2024","2000032876","ADMINISTRATIVE AND ECONOMIC SCIENCES","Administracion de empresas","2000032876","COLOMBIA",,
"2000034476","RESPONSABLE RESOURCES HUMAINES ET ADMINISTRATIVES","CIMENTS GUYANAIS (CEM-FR02)",,,,,"2000034476",,,"2000034476",,,
"2000034477","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034477",,,"2000034477",,,
"2000034478","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034478",,,"2000034478",,,
"2000034479","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034479",,,"2000034479",,,
"2000034480","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034480",,,"2000034480",,,
"2000034482","PROMOTORIA COMERCIAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034482",,,"2000034482",,,
"2000034483","INSPECTOR(A) PROCESOS","CEMENTOS ARGOS S.A. (CEM-CO02)",,,,,"2000034483",,,"2000034483",,,
"1046873183",,"SODEXO",,,,,"1046873183",,,"1046873183",,,
"43168209",,"SODEXO",,,,,"43168209",,,"43168209",,,
"43819941",,"SODEXO",,,,,"43819941",,,"43819941",,,
"71295249",,"SODEXO",,,,,"71295249",,,"71295249",,,
"9865185",,"SODEXO",,,,,"9865185",,,"9865185",,,
"98696901",,"SODEXO",,,,,"98696901",,,"98696901",,,
"2000034489","OPERADOR(A) GRUA","CONCESION TUNEL ABURRA ORIENTE (ODI-CO03)",,,,,"2000034489",,,"2000034489",,,
"2000034490","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,,,"2000034490",,,"2000034490",,,
"2000034491","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,,,"2000034491",,,"2000034491",,,
"2000034492","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034492",,,"2000034492",,,
"2000034493","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,,,"2000034493",,,"2000034493",,,
"2000034494","PRACTICANTE GESTION ADMINISTRATIVA","CONCESION TUNEL ABURRA ORIENTE (ODI-CO03)",,,,,"2000034494",,,"2000034494",,,
"2000034495","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034495",,,"2000034495",,,
"2000034496","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,,,"2000034496",,,"2000034496",,,
"2000034497","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,,,"2000034497",,,"2000034497",,,
"2000034499","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,,,"2000034499",,,"2000034499",,,
"2000034501","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,,,"2000034501",,,"2000034501",,,
"2000034502","ANALISTA CONTABLE","CONCESION TUNEL ABURRA ORIENTE (ODI-CO03)",,,,,"2000034502",,,"2000034502",,,
"2000005540","ASEGURADOR(A) DEL SERVICIO","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","SPECIALIZATION (COL)","GRADUATED","2022","2022","2000005540","HUMAN MANAGEMENT",,"2000005540","COLOMBIA","CESDE",
"2000005540","ASEGURADOR(A) DEL SERVICIO","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","MASTER'S","GRADUATED","2015","2019","2000005540","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005540","COLOMBIA","Universidad EAFIT","MAESTRIA EN ADMINISTRACION"
"2000005540","ASEGURADOR(A) DEL SERVICIO","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","SPECIALIZATION (COL)","GRADUATED","2010","2011","2000005540","PROJECTS MANAGEMENT",,"2000005540","COLOMBIA","Universidad EAFIT",
"2000005540","ASEGURADOR(A) DEL SERVICIO","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","HIGH SCHOOL","GRADUATED","1993","1998","2000005540","N/D",,"2000005540","COLOMBIA",,"BACHILLERATO"
"2000005540","ASEGURADOR(A) DEL SERVICIO","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","BACHELOR'S","GRADUATED","2000","2007","2000005540","NATURAL SCIENCES",,"2000005540","COLOMBIA","Universidad EAFIT","GEOLOGIA"
"2000005541","OPERADOR DE BASCULA","SATOR S.A.S (GRA-CO03)","HIGH SCHOOL",,,,"2000005541",,,"2000005541","COLOMBIA",,"BACHILLERATO"
"2000005542","OPERARIO DE CALIDAD","SATOR S.A.S (GRA-CO03)","HIGH SCHOOL",,,,"2000005542",,,"2000005542","COLOMBIA",,"BACHILLERATO"
"2000005543","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005543",,,"2000005543",,,
"2000005555","OPERARIO(A) GENERAL PROYECTOS","ZONA FRANCA ARGOS S.A.S (CEM-CO04)",,,,,"2000005555",,,"2000005555",,,
"2000005556","OPERARIO EDS","SATOR S.A.S (GRA-CO03)",,,,,"2000005556",,,"2000005556",,,
"2000005565","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,,,"2000005565",,,"2000005565",,,
"2000005569","OPERADOR (A) MAQUINARIA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005569",,,"2000005569",,,
"2000005571","LIDER SR CONSOLIDACION Y ANALISIS","GRUPO ARGOS S.A. (GRA-CO01)","MASTER'S","GRADUATED","2013","2014","2000005571","FINANCE",,"2000005571","COLOMBIA","Universidad Nacional de Colombia","ESPECIALIZACION EN INGENIERIA FINANCIERA"
"2000005571","LIDER SR CONSOLIDACION Y ANALISIS","GRUPO ARGOS S.A. (GRA-CO01)","MASTER'S","GRADUATED","2018","2020","2000005571","FINANCE",,"2000005571","COLOMBIA","Universidad EAFIT","MAESTRIA EN ADMINISTRACION FINANCIERA"
"2000005571","LIDER SR CONSOLIDACION Y ANALISIS","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S","GRADUATED","2008","2012","2000005571","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005571","COLOMBIA","Universidad de Antioquia","CONTADURIA PUBLICA"
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)",,,,"2000005575",,,"2000005575","COLOMBIA",,"ESPECIALIZACION EN DIRECCION DE OPERACIONES Y LOGISTICA"
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","BACHELOR'S",,,,"2000005575",,,"2000005575","COLOMBIA",,"INGENIERIA DE PRODUCCION"
"2000005576","COORDINADOR(A) AERONAVEGABILIDAD Y AUDITORIAS","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","TECHNICAL (COL)","GRADUATED","2004","2003","2000005576","AERONAUTICS",,"2000005576","COLOMBIA","Servicio Nacional de Aprendizaje SENA","TECNICO PROFESIONAL EN AEROMECANICA"
"2000005576","COORDINADOR(A) AERONAVEGABILIDAD Y AUDITORIAS","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","TECHNICAL (COL)","GRADUATED","1998","2003","2000005576","TECHNOLOGY",,"2000005576","COLOMBIA",,
"2000005576","COORDINADOR(A) AERONAVEGABILIDAD Y AUDITORIAS","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","TECHNICAL (COL)","GRADUATED","2008","2008","2000005576","AERONAUTICS",,"2000005576","COLOMBIA","Servicio Nacional de Aprendizaje SENA",
"2000005577","DIRECTOR(A) PLANEACION Y COMERCIAL","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","MASTER'S",,,,"2000005577",,,"2000005577","COLOMBIA",,"MAESTRIA EN GERENCIA DE PROYECTOS"
"2000005577","DIRECTOR(A) PLANEACION Y COMERCIAL","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","BACHELOR'S",,,,"2000005577",,,"2000005577","COLOMBIA",,"INGENIERIA AERONAUTICA"
"2000005577","DIRECTOR(A) PLANEACION Y COMERCIAL","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)",,,,"2000005577",,,"2000005577","COLOMBIA",,"ESPECIALIZACION EN GERENCIA DE PROYECTOS"
