"Exported to CSV on Wednesday, September 6, 2023"

"Person ID External","Job Title","Company","Comments","Department/Team interested in","Subsidiary"
"2000001057","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000028211","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,"ADMINISTRATIVE","CELSIA"
"2000028502","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000028677","EXPERIENCIAS DE SERVICIO","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000031706","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,"ADMINISTRATIVE","CELSIA"
"2000032513","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000032876","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,"ADMINISTRATIVE","CELSIA"
"2000034476","RESPONSABLE RESOURCES HUMAINES ET ADMINISTRATIVES","CIMENTS GUYANAIS (CEM-FR02)",,,
"2000034477","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034478","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034479","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034480","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034482","PROMOTORIA COMERCIAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034483","INSPECTOR(A) PROCESOS","CEMENTOS ARGOS S.A. (CEM-CO02)",,,
"1046873183",,"SODEXO",,,
"43168209",,"SODEXO",,,
"43819941",,"SODEXO",,,
"71295249",,"SODEXO",,,
"9865185",,"SODEXO",,,
"98696901",,"SODEXO",,,
"2000034489","OPERADOR(A) GRUA","CONCESION TUNEL ABURRA ORIENTE (ODI-CO03)",,,
"2000034490","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,
"2000034491","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,
"2000034492","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034493","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,
"2000034494","PRACTICANTE GESTION ADMINISTRATIVA","CONCESION TUNEL ABURRA ORIENTE (ODI-CO03)",,,
"2000034495","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034496","SERVICIO Y GESTION DOCUMENTAL","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000034497","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,
"2000034499","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,
"2000034501","DRIVER READY MIX TRUCK","ARGOS USA LLC (CEM-US02)",,,
"2000034502","ANALISTA CONTABLE","CONCESION TUNEL ABURRA ORIENTE (ODI-CO03)",,,
"2000005540","ASEGURADOR(A) DEL SERVICIO","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"ADMINISTRATIVE","ADMINISTRATIVO"
"2000005541","OPERADOR DE BASCULA","SATOR S.A.S (GRA-CO03)",,,
"2000005542","OPERARIO DE CALIDAD","SATOR S.A.S (GRA-CO03)",,,
"2000005543","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005555","OPERARIO(A) GENERAL PROYECTOS","ZONA FRANCA ARGOS S.A.S (CEM-CO04)",,,
"2000005556","OPERARIO EDS","SATOR S.A.S (GRA-CO03)",,,
"2000005565","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,
"2000005569","OPERADOR (A) MAQUINARIA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005571","LIDER SR CONSOLIDACION Y ANALISIS","GRUPO ARGOS S.A. (GRA-CO01)",,"FINANCE","GRUPO ARGOS"
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","En temas administrativos.","AIRPORTS","ODINSA"
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","Soy Ingeniera de Produccion, Especialista en Dirección de Operaciones y Logistica.","LOGISTICS",
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","Soy Ingeniera de Produccion, Especialista en Dirección de Operaciones y Logistica y me encanta todo lo relacionado con ganadería.","CATTLE RAISING","GRUPO ARGOS"
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","En temas administrativos. Me encanta Celsia!","ADMINISTRATIVE","CELSIA"
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","No tengo claro el termino ""Excelencia Operacional"", pero me pareció llamativo.","OPERATIONAL EXCELLENCE",
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","Soy Ingeniera de Produccion, Especialista en Dirección de Operaciones y Logistica.
Llevo 8 años y medio trabajando en Operaciones de Interejecutiva.","OPERATION",
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","Soy Ingeniera de Produccion, Especialista en Dirección de Operaciones y Logistica y me encanta todo lo relacionado con Celsia.","POWER GENERATION",
"2000005575","JEFE OPERACIONES DE VUELO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","Llevo 8 años y medio trabajando en Operaciones de Vuelo de Interejecutiva.","AIR SERVICES",
"2000005576","COORDINADOR(A) AERONAVEGABILIDAD Y AUDITORIAS","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,
"2000005577","DIRECTOR(A) PLANEACION Y COMERCIAL","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,"Gerencia y dirección de proyectos"
"2000005578","COORDINADOR(A) RIO GRANDE","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005580","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005581","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005582","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005585","GERENTE","SATOR S.A.S (GRA-CO03)",,,
"2000005587","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005593","DIRECCION LEGAL CORPORATIVA","GRUPO ARGOS S.A. (GRA-CO01)",,"LEGAL","GRUPO ARGOS"
"2000005595","OPERARIO MAQUINARIA AGRICOLA","TEKIA S.A.S (GRA-CO04)",,,
"2000005600","OPERARIO DE CALIDAD","SATOR S.A.S (GRA-CO03)",,,
"2000005609","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,"AUDIT","Operaciones"
"2000005610","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,
"2000005615","NEGOCIADOR(A)","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","Ser  comprador  spot o negociadora","SOURCING","CELSIA"
"2000005615","NEGOCIADOR(A)","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","ser negociadora","SOURCING","SUMMA"
"2000005615","NEGOCIADOR(A)","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","Ser  comprador  spot o negociadora","SOURCING","ODINSA"
"2000005617","DIRECCION AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","En la Zona Norte de Colombia o en Cali.","ENVIRONMENT","CELSIA"
"2000005617","DIRECCION AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","En la Regional Caribe.","ENVIRONMENT","ARGOS"
"2000005617","DIRECCION AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","Me gustaría tener posibilidad de ascenso en Grupo Argos S.A.","ENVIRONMENT","GRUPO ARGOS"
"2000005625","OPERADOR DE TRITURADORA","SATOR S.A.S (GRA-CO03)",,,
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,"POWER DISTRIBUTION","CELSIA"
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,"AIRPORTS","ODINSA"
"2000005628","OPERARIO(A) GENERAL PROYECTOS","ZONA FRANCA ARGOS S.A.S (CEM-CO04)",,,
"2000005629","LIDER SR LEGAL NDU","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005638","SECRETARIA(O) PRESIDENCIA","CEMENTOS ARGOS S.A. (CEM-CO02)",,,
"2000005648","VAQUERO (A) MAYOR","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005787","ESTABLERO (A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005722","GERENCIA PROYECTO BARU","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005724","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005729","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005735","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005742","GERENCIA URBANISMO E INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)",,,"Desarrollo urbano sostenible e innovación."
"2000005745","GERENCIA COMERCIAL","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005747","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005748","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005761","TECNICO TOPOGRAFO","SATOR S.A.S (GRA-CO03)",,,
"2000005765","VAQUERO(A) SECTORISTA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005768","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005771","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005773","AUXILIAR DE CAMPO","TEKIA S.A.S (GRA-CO04)",,,
"2000005778","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005789","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005492","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005498","LIDER SR. SOSTENIBILIDAD SATOR","SATOR S.A.S (GRA-CO03)","CELSIA en muy corto tiempo ha dado un vuelco total a sus estrategia de negocio adaptándose a lo requerido por el mercado energético y a las necesidades de sus clientes. Quisiera conocer mucho más sobre este proceso y, por que no, liderar un proceso similar.","BUSINESS DEVELOPMENT & INNOVATION","CELSIA"
"2000005499","AUXILIAR DE CAMPO","TEKIA S.A.S (GRA-CO04)",,,
"2000005500","TECNICO DE MANTENIMIENTO","SATOR S.A.S (GRA-CO03)",,,
"2000005503","LIDER SR TESORERIA","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005504","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005511","DIRECTOR OPERACIONES","SATOR S.A.S (GRA-CO03)",,,
"2000005524","VAQUERO (A) MAYOR","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005532","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005779","OPERARIO DE ALMACEN","SATOR S.A.S (GRA-CO03)",,,
"2000005781","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005654","OPERADOR DE BASCULA","SATOR S.A.S (GRA-CO03)",,,
"2000005655","GERENCIA LEGAL Y DE SOSTENIBILIDAD NDU","GRUPO ARGOS S.A. (GRA-CO01)",,,"GRUPO ARGOS"
"2000005657","LIDER DE LOGISTICA","SATOR S.A.S (GRA-CO03)",,,"Operaciones"
"2000005657","LIDER DE LOGISTICA","SATOR S.A.S (GRA-CO03)",,,"Logística"
"2000005657","LIDER DE LOGISTICA","SATOR S.A.S (GRA-CO03)",,,"Desarrollo Humano"
"2000004509","ESPECIALISTA AUDITORIA","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","Crecer en mi área de trabajo y fortalecerme en control interno","AUDIT","SUMMA"
"2000005658","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005660","AIT","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,"CONTINUAR CON LA CALIDAD EN MI TRABAJO"
"2000005661","COMPRADOR(A)","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,,"GRUPO ARGOS"
"2000005662","JEFE PILOTOS","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,"Operaciones"
"2000005664","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005665","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005670","TECNICO DE TRITURACION","SATOR S.A.S (GRA-CO03)",,"MINING","GRUPO ARGOS"
"2000005671","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005674","GERENCIA TRIBUTARIA CORPORATIVA","GRUPO ARGOS S.A. (GRA-CO01)",,,"Jurídica"
"2000005681","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005692","AUXILIAR DE COMPRAS","TEKIA S.A.S (GRA-CO04)",,,
"2000005693","DIRECCION BIODIVERSIDAD Y CAMBIO CLIMATICO","FUNDACION GRUPO ARGOS (GRA-CO05)",,"BUSINESS DEVELOPMENT & INNOVATION",
"2000005693","DIRECCION BIODIVERSIDAD Y CAMBIO CLIMATICO","FUNDACION GRUPO ARGOS (GRA-CO05)",,"FOREST","GRUPO ARGOS"
"2000005693","DIRECCION BIODIVERSIDAD Y CAMBIO CLIMATICO","FUNDACION GRUPO ARGOS (GRA-CO05)",,"RESEARCH AND DEVELOPMENT",
"2000005698","OPERARIO MINA","SATOR S.A.S (GRA-CO03)",,,
"2000005705","LIDER SR SOSTENIBILIDAD","GRUPO ARGOS S.A. (GRA-CO01)",".","SUSTAINABILITY","GRUPO ARGOS"
"2000005708","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005859","TECNICO DE MINA","SATOR S.A.S (GRA-CO03)",,,
"2000006019","COPILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,
"2000006020","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,"Operaciones"
"2000006029","ANALISTA SISTEMA DE INFORMACION GEOGRAFICA","TEKIA S.A.S (GRA-CO04)",,"ENVIRONMENT","Gestión de Proyectos"
"2000006029","ANALISTA SISTEMA DE INFORMACION GEOGRAFICA","TEKIA S.A.S (GRA-CO04)",,"FOREST","Sistemas de Información Geográfica"
"2000005865","COORDINADORA SST","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,"leyes"
"2000005879","GERENCIA FINANCIERA NEGOCIO INMOBILIARIO","GRUPO ARGOS S.A. (GRA-CO01)",,"FINANCE",
"2000005879","GERENCIA FINANCIERA NEGOCIO INMOBILIARIO","GRUPO ARGOS S.A. (GRA-CO01)",,"SUSTAINABILITY",
"2000005886","OPERADOR (A) MAQUINARIA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005888","GERENCIA NEGOCIO DESARROLLO URBANO","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005903","DIRECCION DE SOSTENIBILIDAD","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005921","LIDER LEGAL","GRUPO ARGOS S.A. (GRA-CO01)","Seguir aprendiendo y creciendo profesionalmente dentro del área legal de la compañía. ","LEGAL","GRUPO ARGOS"
"2000005829","COORDINADOR DE PROYECTOS","TEKIA S.A.S (GRA-CO04)",,,"APROVECHAMIENTO FORESTAL"
"2000005832","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005833","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005835","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005841","LIDER ADMINISTRATIVO BIENES E INMUEBLE","GRUPO ARGOS S.A. (GRA-CO01)",,"ADMINISTRATIVE","GRUPO ARGOS"
"2000005844","OPERARIO (A) DE SERVICIOS GENERALES","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005846","GESTOR(A) SR. CONTRATACION","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"HR MANAGEMENT","CELSIA"
"2000005846","GESTOR(A) SR. CONTRATACION","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"AUDIT","GRUPO ARGOS"
"2000005846","GESTOR(A) SR. CONTRATACION","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"HR MANAGEMENT","GRUPO ARGOS"
"2000005855","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005856","OPERADOR DE BASCULA","SATOR S.A.S (GRA-CO03)",,,
"2000005858","LIDER FINANZAS DEL COLABORADOR","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"AUDIT",
"2000005858","LIDER FINANZAS DEL COLABORADOR","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"HR MANAGEMENT",
"2000005858","LIDER FINANZAS DEL COLABORADOR","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)",,"FINANCE",
"2000005666","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005606","DIRECCION RELACION CON EL INVERSIONISTA Y ASUNTOS DE LA PRESIDENCIA","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005824","LIDER SR COMERCIAL","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005550","LIDER INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)","Procesos relacionados con M&A, estructuración de proyectos de inversión y desinversión, optimizar el portafolio de empresas del Grupo Empresarial, procesos de emisión de títulos en el mercado público de valores.",,"GRUPO ARGOS"
"2000005656","COORDINADOR(A) ZONA CENTRO","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005883","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005573","PROFESIONAL PLANEACION MINERA","SATOR S.A.S (GRA-CO03)",,,
"2000006067","LIDER SR PROYECTOS BARU","GRUPO ARGOS S.A. (GRA-CO01)",,,"Idiomas, Negocios, Ingenieria, Gerencia de Proyectos, Mercadeo, Finanzas"
"2000005897","LIDER SR AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","Cualquier de las filiales de Grupo Argos","ENVIRONMENT","GRUPO ARGOS"
"2000005897","LIDER SR AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","Cualquier de las filiales de Grupo Argos","SUSTAINABILITY","GRUPO ARGOS"
"2000005721","COORDINADOR DE PROYECTOS","TEKIA S.A.S (GRA-CO04)",,,
"2000005634","LIDER SR INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005607","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005505","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005887","PROFESIONAL BIOTECNOLOGIA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005516","OPERARIO(A) FORESTAL DE CAMPO","TEKIA S.A.S (GRA-CO04)",,,
"2000005819","ESTABLERO (A) MAYOR","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005873","PROFESIONAL DE SOSTENIBILIDAD","SATOR S.A.S (GRA-CO03)",,"LOGISTICS","GRUPO ARGOS"
"2000005943","GERENTE GENERAL","OPAIN S.A. (ODI-CO02)",,,
"2000005668","DIRECCION INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)","Gerencia de Proyectos","URBAN DEVELOPMENT","GRUPO ARGOS"
"2000005843","ANALISTA SERVICIO AL CLIENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,"AIRPORTS",
"2000005568","AUXILIAR AMBIENTAL","SATOR S.A.S (GRA-CO03)",,,
"2000005535","AUXILIAR DE CAMPO","TEKIA S.A.S (GRA-CO04)",,,
"2000005758","GERENCIA ESTRATEGIA INMOBILIARIA","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000005934","DIRECCION EJECUTIVA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005976","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,
"2000005635","AUXILIAR ADMINISTRATIVO (A)","TEKIA S.A.S (GRA-CO04)",,,
"2000005899","COORDINADOR(A) ZONA NORTE Y BAJO CAUCA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005757","AUXILIAR ADMINISTRATIVO (A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005912","DIRECTOR TECNICO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,
"2000005993","OPERARIO(A) GENERAL","FUNDACION GRUPO ARGOS (GRA-CO05)",,,
"2000005509","PROFESIONAL TECNICO SENIOR","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,,
"2000005719","CALIDAD - REPRESENTANTE OMA IEA","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)",,"MAINTENANCE",
"2000005583","VICEPRESIDENCIA ESTRATEGIA Y FINANZAS CORPORATIVAS","GRUPO ARGOS S.A. (GRA-CO01)",,,"Donde la Org lo requiera"
"2000005688","AUDITORIA","GRUPO ARGOS S.A. (GRA-CO01)",,,
"2000001769","OPERACIONES DE ENERGIA CENTRAL TERMICA","CELSIA S.A (CLS-CO01)","Regulación - mercado mayorista","LEGAL","CELSIA"
"2000001769","OPERACIONES DE ENERGIA CENTRAL TERMICA","CELSIA S.A (CLS-CO01)","Generación eólica y solar","POWER GENERATION","CELSIA"
"2000001769","OPERACIONES DE ENERGIA CENTRAL TERMICA","CELSIA S.A (CLS-CO01)",,"BUSINESS DEVELOPMENT & INNOVATION","CELSIA"
"2000010788","SERVICIOS GENERALES TERMICAS","CELSIA S.A (CLS-CO01)",,,
"2000005162","MANTENIMIENTO ELECTRICO CENTRALES","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000011301","LIDER DESARROLLO DE NEGOCIOS","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,"GRUPO ARGOS"
"2000011301","LIDER DESARROLLO DE NEGOCIOS","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,"CELSIA"
"2000011301","LIDER DESARROLLO DE NEGOCIOS","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,"ARGOS"
"2000011301","LIDER DESARROLLO DE NEGOCIOS","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,"ODINSA"
"2000005165","OPERACION Y MANTENIMIENTO CENTRALES GENERACION","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,,
"2000004410","OPERACIONES DE ENERGIA CENTRAL TERMICA","CELSIA S.A (CLS-CO01)",,"BUSINESS DEVELOPMENT & INNOVATION",
"2000004413","LIDER AUDITORIA CORPORATIVA","CELSIA S.A (CLS-CO01)",,,
"2000003477","LIDER RIESGOS Y SEGUROS","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,"RISKS",
"2000004415","LIDER PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,"COMMERCIAL MANAGEMENT & MARKETING","GRUPO ARGOS"
"2000004415","LIDER PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA","CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07)",,"COMMERCIAL MANAGEMENT & MARKETING","CELSIA"
"2000005170","GERENTE(A) LEGAL COLOMBIA","CEMENTOS ARGOS S.A. (CEM-CO02)",,"COMMUNICATION AND CORPORATE RESPONSIBILITY",
"2000005170","GERENTE(A) LEGAL COLOMBIA","CEMENTOS ARGOS S.A. (CEM-CO02)",,"FOUNDATION",
"2000005170","GERENTE(A) LEGAL COLOMBIA","CEMENTOS ARGOS S.A. (CEM-CO02)",,"LEGAL",
"2000005170","GERENTE(A) LEGAL COLOMBIA","CEMENTOS ARGOS S.A. (CEM-CO02)",,"HR MANAGEMENT",
"2000004971","SERVICIOS GENERALES","CELSIA S.A (CLS-CO01)",,,
